AelafSat1.A1ModJulian     AelafSat1.EarthMJ2000Eq.X   AelafSat1.EarthMJ2000Eq.Y   AelafSat1.EarthMJ2000Eq.Z   
21545.14087187895         20364.6442145919            22317.80491347225           6756.020131851546           
21545.14991438072         20102.79391347937           24616.61914658414           7017.365651156308           
21545.15981918269         19653.43452237799           26935.48146135829           7246.870099283071           
21545.17064422858         18997.4110295211            29243.59220346012           7436.857602512034           
21545.18242705435         18117.48892472606           31500.39460802868           7578.692115577367           
21545.19517313703         17001.06773990554           33655.31209623355           7663.241890916124           
21545.20885793242         15641.96304730202           35650.98269389474           7681.643296621163           
21545.22344491304         14039.79054139977           37428.06386056799           7625.834408156665           
21545.23891380554         12196.78853259174           38928.25313717601           7488.376480487671           
21545.25529062474         10113.16296921392           40092.82376816094           7261.399295235136           
21545.27267853795         7781.838066454549           40855.4788798997            6934.671942529104           
21545.27275824733         7770.913616428631           40857.84941745282           6932.978886683564           
21545.27345269178         7592.127504529181           40896.14990761477           6905.204211084235           
21545.27544831478         7077.55332898497            41001.85388763226           6824.654251316855           
21545.28212751725         5347.636764514194           41308.39812219545           6547.284371978338           
21545.29688870696         1495.303237575525           41725.85306199342           5893.901470380879           
21545.31306882196         -2740.953504847254          41769.15507004735           5119.415724258928           
21545.32941842144         -6992.53711830926           41372.59637668158           4282.874664299563           
21545.34579026048         -11175.67338701141          40536.3991323407            3399.74003777213            
21545.36216888493         -15241.84892466058          39269.33126589309           2480.12937694715            
21545.3785534413          -19147.61883716274          37584.73703180167           1533.842866748129           
21545.39494517559         -22851.74874450773          35500.24721120234           570.8507437943973           
21545.4113450131          -26315.03176722579          33037.72506747388           -398.6802857541236          
21545.42775410231         -29500.8194079338           30222.973346183             -1364.524305103955          
21545.4441730974          -32375.26153249297          27085.58455509727           -2316.460568261708          
21545.46060299201         -34907.82446810506          23658.49571564521           -3244.42890488855           
21545.47704443632         -37071.48799326936          19977.77250432303           -4138.595087906644          
21545.49349792036         -38843.07986304489          16082.21328392671           -4989.465787215718          
21545.50996397207         -40203.5486408284           12012.90104086372           -5787.999172902287          
21545.52644292804         -41138.1451282397           7812.830009565488           -6525.688624276297          
21545.54293518257         -41636.60278199572          3526.396802489677           -7194.664495366684          
21545.55944051191         -41693.24158047932          -800.8872380074542          -7787.75199122448           
21545.57595870379         -41307.08491255811          -5123.036438696456          -8298.578938743834          
21545.59248982041         -40481.84938797514          -9394.148098134943          -8721.648958080634          
21545.60903331951         -39225.94575041251          -13568.66143749226          -9052.376505922148          
21545.62558867774         -37552.39500919195          -17602.00919618088          -9287.159167641999          
21545.64215553139         -35478.66628172444          -21451.12460089574          -9423.416052348557          
21545.65873286905         -33026.60037380732          -25074.71761793449          -9459.610915379229          
21545.67531979503         -30222.11035579108          -28433.91162659511          -9395.282727788201          
21545.69191543513         -27094.90811394914          -31492.63703212093          -9231.048301875873          
21545.70851870269         -23678.23347940819          -34217.98063413626          -8968.599432516909          
21545.72512846496         -20008.47649086456          -36580.5839965238           -8610.686948227138          
21545.74174348562         -16124.80172839645          -38554.96048709074          -8161.094191301632          
21545.75836228796         -12068.76501794181          -40119.77354063388          -7624.603869803069          
21545.77498378915         -7883.710347300334          -41258.13582239453          -7006.927233687903          
21545.79160668012         -3614.447163959273          -41957.72563757184          -6314.660293274543          
21545.80822953938         693.2584218601701           -42210.95267824311          -5555.212397909956          
21545.82485096278         4993.214854934188           -42015.05532967178          -4736.721468052543          
21545.84146958376         9239.315014145544           -41372.13049877822          -3867.964071761619          
21545.85808383077         13385.97992362612           -40289.12789617269          -2958.272903282147          
21545.87469301316         17388.92344553186           -38777.69107227697          -2017.374498368584          
21545.89129559886         21205.20595099877           -36854.1436459632           -1055.377478246327          
21545.90789044487         24794.00908093817           -34539.23254066919          -82.59524149954869          
21545.92447645664         28116.99301942407           -31857.9173677489           890.5482236303579           
21545.94105289523         31138.76598727681           -28839.03729854376          1853.649694014493           
21545.95761870287         33827.13489916693           -25515.10785222361          2796.400262078663           
21545.97417317837         36153.57831283403           -21921.84674835967          3708.736312741768           
21545.99071559608         38093.48067047764           -18097.84988621819          4580.926313854732           
21546.00724562388         39626.43905269483           -14084.07225015725          5403.697226992897           
21546.02376292112         40736.41615224117           -9923.468909443116          6168.311034664825           
21546.04026707788         41411.91529091766           -5660.550661657725          6866.656818903214           
21546.05675801556         41646.11716498055           -1340.799850938705          7491.354612572638           
21546.07323564985         41436.92063278558           2989.736056351097           8035.817640805199           
21546.08970064052         40786.92860808585           7285.133811601172           8494.342535916399           
21546.10615312244         39703.42389585148           11499.74914744087           8862.125730163463           
21546.12259334996         38198.29505311018           15588.87281479621           9135.338124738391           
21546.13902210548         36287.84239280768           19509.30119285604           9311.166175214661           
21546.15544016823         33992.62230392241           23219.64933203765           9387.82535908825            
21546.1718481171          31337.26618936747           26680.74606753171           9364.580014345149           
21546.18824716077         28350.08173067902           29856.21786927505           9241.748482960771           
21546.20463810484         25062.90983672001           32712.64462503884           9020.697728617177           
21546.22102219826         21510.63612734271           35220.06959391607           8703.821987823061           
21546.23740038686         17730.96746862081           37352.17609962324           8294.525384605502           
21546.25377439435         13763.78884760814           39086.69797601496           7797.158698079052           
21546.27014499954         9651.148237423571           40405.4365353433            7217.018851687861           
21546.27275824733         8984.000209837117           40576.49914687048           7117.139000407554           
